Time,Temperature,T Unc.,Humidity,H Unc.,Pressure,P Unc.
1635566162.376279,17.442734375,0.0177080269581,61.384605981,0.167918318526,0.997138705415,1.10199314321e-05
1635566168.8989341,17.47734375,0.0110257322868,62.1926651065,0.365658850225,0.997114949741,1.35853499664e-05
1635566175.0100114,17.489609375,0.00794266564196,62.7262980562,0.258729830516,0.997120642065,1.62974624088e-05
1635566181.0721617,17.474296875,0.0182445712441,61.4460452898,0.40606511292,0.997092412973,1.8932900889e-05
1635566187.3736453,17.4895703125,0.0133320489901,60.7344143646,0.125752957164,0.997089127153,1.62592953846e-05
1635566193.4162273,17.505859375,0.0196938543813,60.5429928498,0.106681699928,0.997092166591,1.65927053256e-05
1635566199.6298892,17.5455078125,0.0115799066612,60.4924755437,0.133578595678,0.997075912307,9.14798040845e-06
1635566205.69294,17.5505859375,0.0045420130793,60.6201623836,0.100779614944,0.997091945109,7.75323495285e-06
1635566211.9329407,17.5658203125,0.00849732839449,60.1425632245,0.300486302548,0.997118254288,1.24290058314e-05
1635566218.016241,17.5383984375,0.0202106823162,59.8208466712,0.0892783413461,0.997145135581,2.35989934489e-05
1635566224.2221348,17.5191015625,0.0161863989732,59.7994833033,0.154493043203,0.997212117518,2.12612826232e-05
1635566230.2635612,17.5109765625,0.0206649116673,59.7503010717,0.0658184351736,0.997271149812,1.56248322659e-05
1635566236.4774253,17.4549609375,0.0231016298718,59.5483612216,0.167211819861,0.99730968934,1.69518174701e-05
1635566243.0482426,17.448828125,0.0120170370594,59.7606628393,0.152534051834,0.997355255433,1.12336675468e-05
1635566249.1244228,17.432578125,0.00673689410541,59.8147460756,0.111284106599,0.997446264144,1.32448027305e-05
1635566255.216068,17.474296875,0.0201263252912,59.9690238822,0.216288737243,0.99748898699,1.90594331199e-05
1635566261.5184114,17.482421875,0.00696912660137,60.3052809793,0.145361982044,0.997564443453,1.46882691034e-05
1635566267.5957654,17.4946875,0.0188013619437,59.9254506747,0.123368036618,0.997602869738,2.16079618732e-05
1635566273.7375312,17.4916015625,0.0229223995552,59.556894676,0.0786069683771,0.997663446253,3.30427860861e-05
1635566279.8343635,17.5109765625,0.00984684971038,59.430910128,0.15562151951,0.997666956552,1.70031051747e-05
1635566286.0008867,17.48140625,0.00526315548545,60.0131183645,0.397567349215,0.997695462706,1.02390170565e-05
1635566292.0576391,17.4773828125,0.0178577584297,60.1232134198,0.18634098188,0.99769888945,1.84535771991e-05
1635566298.2865207,17.426484375,0.0177661815546,59.6890439746,0.156987054857,0.997736153418,1.61129560229e-05
1635566304.9217498,17.387890625,0.02338144338,60.1667913033,0.23745880126,0.997743000738,2.41455374645e-05
